monthly_income,repayment_score,existing_debt,credit_history_years,late_payments,credit_score
56530,50,19133,6,4,477
221145,99,876137,17,6,752
138297,66,809791,1,4,484
213250,89,716745,19,7,729
16365,54,551688,9,7,433
211616,80,34173,11,2,724
64683,46,11179,1,4,419
109356,80,888311,12,11,514
144406,11,192958,7,3,422
73896,49,35495,6,4,482
114339,99,268631,2,7,558
164073,23,539048,7,3,454
152794,55,389744,0,4,465
35100,5,91975,14,6,378
135763,64,616753,0,2,505
163532,35,727187,11,5,492
235595,93,291547,10,8,665
76645,69,723397,15,10,516
84551,54,115625,3,3,484
214570,3,895008,1,3,345
19840,6,1755,2,5,300
196136,87,652788,3,5,587
101069,56,691518,17,2,630
100990,2,71352,11,0,463
63105,82,476352,0,2,528
20699,94,425832,2,7,490
151994,38,378035,3,7,399
170991,56,198498,5,5,520
204608,5,863191,16,6,452
172580,46,636421,7,1,553
102200,11,418182,17,8,417
112806,65,531976,15,2,650
171350,10,760164,5,1,420
160934,41,170556,18,4,616
159670,44,715215,7,0,553
213506,90,945057,3,4,608
234547,33,855714,8,9,427
141473,91,974946,7,3,629
242896,56,673939,18,11,577
170846,12,144086,0,5,340
198456,2,48443,3,11,300
17822,1,173033,9,4,334
183324,65,974005,7,8,497
105585,33,189986,2,4,404
102420,86,381230,11,7,598
28052,76,560685,8,11,434
98574,36,335446,2,1,448
228583,21,464899,3,2,458
145171,84,375561,5,2,629
246224,36,243818,8,2,571
134879,26,178250,1,5,373
159341,47,1063,1,6,440
214649,95,467582,17,6,753
31551,1,402550,2,11,300
84915,38,75848,2,6,383
22661,14,942631,17,11,320
210619,90,167115,5,2,688
87503,46,328656,0,0,468
110406,42,634975,14,5,520
206686,7,126230,10,2,489
227282,55,502926,9,2,618
100930,56,785522,3,2,487
159603,76,732635,13,8,588
167442,63,659429,1,11,391
199072,24,261252,12,3,536
164637,83,914599,15,4,684
139534,73,670964,11,2,641
146904,99,14612,4,9,574
193050,4,966606,18,11,384
229013,42,563458,2,0,537
156257,96,176173,19,11,684
149564,70,590169,1,3,526
204310,28,693070,16,0,618
73859,92,478078,10,10,543
59630,40,908524,0,10,300
211896,51,902196,18,6,612
186656,29,140435,7,6,454
16076,42,921274,10,3,452
128868,69,906772,7,4,545
180211,5,830553,16,9,396
212682,41,73960,19,6,626
183774,61,11990,5,5,549
173607,55,991088,6,3,527
113343,28,94258,12,3,511
209809,41,127640,6,1,567
78705,9,503619,10,9,311
215882,29,306803,9,1,557
174270,78,556425,7,11,503
129870,38,15573,9,3,523
110395,62,410050,10,4,564
205185,54,9554,19,3,709
118800,52,229726,16,2,636
60760,34,894236,10,10,346
203912,37,757668,15,1,617
138476,49,994157,4,3,471
50276,42,217670,9,10,382
223626,14,868596,19,4,549
76913,82,709157,4,0,596
204100,33,13015,19,0,690
88608,98,922238,8,5,606
28348,92,897607,2,4,514
61678,87,59617,2,10,459
160024,17,998202,9,3,436
129369,75,704952,6,0,621
15318,32,634329,1,11,300
92354,79,75195,7,6,560
41011,68,382747,11,3,574
33787,39,999835,8,2,443
127286,94,951085,10,6,617
124160,10,684277,18,1,529
209500,87,774726,19,9,689
158588,24,214722,16,0,602
114032,58,137715,12,10,495
180127,69,13269,0,3,551
117305,64,280502,0,7,434
23752,19,492069,7,5,344
212983,8,622317,12,8,405
139345,71,521579,5,0,611
95506,40,83857,2,0,484
205922,13,393419,15,10,426
125382,27,520542,9,4,452
113328,82,192830,6,5,579
163610,88,343398,2,7,547
27657,2,364036,13,2,405
163915,16,56235,15,5,502
96119,14,297448,3,2,378
36491,17,284316,12,7,372
118010,60,598122,0,11,350
192503,70,872163,4,10,461
143801,99,494221,17,10,669
209547,17,569145,11,3,498
57180,45,141483,10,1,542
33540,38,269969,8,11,334
217587,64,621062,6,8,515
206707,6,694102,13,9,388
22943,60,905056,2,7,370
135730,49,987130,15,5,550
23911,21,975805,6,2,365
186326,99,416556,0,1,658
245481,23,813583,5,3,464
78000,76,43327,5,3,570
84305,57,140324,9,0,597
17479,64,821746,11,8,457
25112,29,200344,18,9,436
124575,27,833800,5,7,354
216339,6,847542,13,6,432
208684,21,390811,2,5,396
222969,71,919176,9,2,647
247548,41,785291,8,3,550
61809,80,459153,19,1,727
47205,5,539610,18,6,407
236177,15,746073,14,1,558
218676,21,404407,8,9,401
152629,58,954585,18,0,692
182170,4,407881,7,5,381
184862,69,848057,3,3,550
125947,7,579792,4,7,300
49826,35,962098,18,0,571
168146,36,57631,13,8,499
141201,15,835671,17,5,477
102691,92,711658,18,1,763
131558,2,507823,5,7,300
116925,57,366727,4,4,494
248367,5,228121,10,4,470
111320,71,789399,4,4,517
47401,86,561306,7,6,539
157637,95,183758,4,6,606
105236,32,942299,10,9,375
79702,72,452042,12,10,507
195998,41,68774,5,6,478
226945,42,663873,4,11,387
157184,75,854706,17,9,604
94297,65,332616,9,1,603
123327,40,521777,15,7,505
154957,83,296748,13,0,744
147448,38,248319,14,1,602
152011,42,751702,2,10,341
188021,37,591392,2,6,411
148918,56,108818,11,3,603
87353,71,620684,14,10,521
22430,55,982733,10,9,401
172400,89,702175,9,9,580
157223,54,529008,19,8,589
205869,22,565013,14,10,436
173691,27,830355,17,8,484
49484,47,991584,13,2,526
139506,38,484356,5,2,484
173736,39,301437,13,8,501
152852,15,736979,15,9,406
214939,66,728831,1,11,421
43604,61,816461,18,7,547
122385,60,979418,4,0,542
32762,8,813017,10,5,332
134272,44,58271,10,6,506
169837,43,974877,18,10,504
209798,6,679258,17,7,460
183115,84,809881,7,11,516
233530,27,399953,11,11,426
205123,45,35308,8,1,601
104230,23,458710,2,0,422
156628,81,478955,5,3,607
94091,13,385518,0,0,370
129919,68,843607,16,1,680
145731,84,291203,2,2,603
25004,64,156520,17,3,623
205028,25,937212,17,11,445
118726,86,868981,1,11,427
166882,52,658346,3,5,468
208072,48,778269,0,7,411
222796,61,384911,9,8,549
15247,17,483069,4,3,334
166834,40,52934,4,0,541
126902,75,484134,8,4,589
60995,89,661845,13,4,641
74423,69,227112,12,8,535
225419,85,382238,12,5,697
215349,26,780208,0,4,394
76969,80,118156,16,9,598
44052,56,351208,19,9,530
64214,40,273916,7,4,451
180391,85,993192,2,7,520
217914,96,667891,16,10,680
214613,68,581852,11,0,698
83858,8,775323,17,4,444
227616,73,488830,13,0,743
55765,45,562923,10,6,450
170942,17,419135,15,6,479
158538,41,153972,3,9,391
60284,77,561682,17,7,603
65034,9,35030,6,6,328
48161,70,854382,10,10,449
214347,91,469105,15,8,691
206883,24,670919,15,7,493
248543,73,208920,2,7,549
68565,11,945061,8,2,379
76314,35,431224,7,9,360
134378,29,407269,6,3,452
199698,8,784994,16,3,507
224802,17,435033,10,0,545
215839,71,365570,3,5,561
66929,12,922497,3,1,347
239876,79,647940,4,8,551
213009,93,477628,7,0,736
23086,50,179453,9,0,544
208654,24,204819,16,10,478
114209,37,537803,5,9,361
212137,78,369445,8,10,555
186851,11,671695,9,5,414
169534,99,58724,7,0,749
193841,81,264319,14,11,604
248994,59,2405,17,2,741
133409,55,576803,4,9,413
201950,27,531629,17,1,615
163028,67,679644,0,10,405
97563,60,683362,1,8,391
128212,2,222064,9,4,391
232063,68,453668,5,5,576
120317,18,976181,18,1,540
190627,20,616084,10,7,425
60602,85,371604,17,5,665
151677,63,81499,15,10,561
91213,78,345669,7,11,470
163010,72,980051,3,7,483
127355,2,150013,10,7,358
205574,90,418235,9,0,746
67545,83,408995,15,6,626
189606,42,280570,11,1,604
123720,28,455884,2,10,300
30009,29,423399,10,7,380
45246,69,197386,15,11,506
43185,28,560215,2,1,388
240903,60,6395,9,3,645
139868,90,231122,15,1,765
237127,5,661334,6,6,377
101488,15,267294,14,4,465
61642,73,77668,14,10,536
24185,32,49572,9,10,346
79366,52,698171,2,8,367
165915,90,84028,5,4,639
32505,37,234050,17,10,437
43022,15,54497,4,7,300
207681,41,102300,15,1,657
200333,4,22466,12,2,501
162511,53,533838,2,5,463
95196,84,315206,14,10,576
89385,27,35394,19,6,524
241236,21,453247,5,9,380
236443,60,192622,3,7,515
85272,86,885226,14,2,675
181449,64,140559,17,6,657
18909,71,55084,8,7,495
160939,47,862241,19,9,541
210757,54,162003,3,5,515
146866,31,347435,15,3,557
98481,17,79220,17,5,492
73527,50,223356,4,8,397
161441,7,11366,12,2,491
38807,83,774112,5,1,572
25856,28,644813,18,4,491
152867,10,162935,11,6,419
240993,27,683689,14,2,584
177135,13,507426,8,4,427
207023,66,889725,6,3,580
184332,86,63818,13,10,627
156221,84,896757,18,6,684
107205,60,972627,19,1,669
172400,43,223133,15,11,491
118303,69,757044,3,10,415
249573,63,759353,11,6,603
84098,70,172443,17,11,550
131382,99,976270,7,1,678
179695,65,846757,16,2,680
188327,99,171313,2,4,644
134443,67,1676,3,6,508
182461,54,106094,9,5,563
150278,36,398498,15,11,452
245414,71,550510,19,6,713
209637,93,510615,1,10,523
117900,15,192375,11,5,431
144611,75,799808,15,11,550
35897,18,982633,9,0,422
225759,4,9431,4,4,404
150442,88,819802,11,11,551
170117,11,657297,2,0,411
102236,6,942105,11,6,351
116751,51,891548,0,3,430
233842,58,750151,1,4,510
136918,60,1067,10,0,648
198656,18,603225,11,7,434
63671,79,627844,6,3,558
161398,67,406688,0,2,535
118533,17,710375,12,0,501
213849,97,426363,12,3,755
176711,34,615684,1,2,445
75874,30,316798,9,7,400
185838,19,455024,0,8,311
167350,9,183406,6,11,300
123459,40,216739,12,4,533
218052,44,660556,1,8,404
214623,95,714960,19,0,853
226511,59,218124,6,6,551
185655,91,210489,16,10,667
108679,25,817025,4,6,346
141750,71,372567,10,5,593
85400,53,851491,10,3,522
24676,48,107041,10,10,402
19234,71,201867,16,8,554
167412,84,745746,18,2,755
127451,53,830833,7,10,409
99259,49,818025,19,10,503
154598,43,927965,13,0,599
218450,19,93220,9,1,537
49626,66,559978,6,2,530
16207,34,619648,1,1,380
144330,81,68923,16,5,697
97844,88,546114,0,6,501
208492,73,382384,12,4,667
67097,54,669913,18,4,588
135069,1,239438,13,6,400
210486,92,315309,17,5,763
151501,55,775415,19,11,534
68591,15,843886,13,7,370
153663,85,793391,14,8,620
126248,15,829147,13,1,489
184732,23,946883,4,11,300
92313,66,415890,15,1,662
119249,46,140631,4,0,531
55459,9,556540,12,6,362
224156,66,288248,15,10,598
117331,66,918055,14,3,614
208171,18,589957,4,8,354
117599,17,137679,5,5,379
208920,72,600927,12,11,551
243663,98,829405,15,6,742
93405,34,650430,9,6,422
104399,69,947362,1,7,426
150733,64,956871,12,3,604
59802,44,472124,16,2,573
33782,29,496644,0,2,354
195251,62,623652,3,9,453
125446,92,715211,17,7,675
147970,16,318680,5,11,300
224527,78,603872,11,2,702
186140,52,882391,19,7,598
82963,2,673930,12,1,425
246001,61,691298,1,4,528
91303,4,469671,16,4,438
98956,52,621504,9,6,480
204726,41,781575,18,4,614
51123,52,969302,4,8,362
71198,31,901715,11,2,472
67872,26,888842,17,8,426
19902,27,452934,8,0,452
172922,51,972473,10,2,570
63554,98,494941,3,3,590
189106,95,260474,9,5,684
210915,48,212911,0,9,405
233228,11,493798,1,7,334
154352,8,214156,8,6,382
95490,12,475753,17,7,429
192886,99,570108,15,5,745
72465,45,98235,13,5,522
193045,34,225328,3,5,444
183801,77,688578,1,2,575
47800,91,9990,11,9,571
249074,72,12778,19,3,785
220495,47,957644,4,10,402
112143,21,362340,3,5,359
133529,41,87448,14,6,536
243749,75,706966,2,2,608
93871,22,504882,16,3,507
86713,21,92334,7,5,397
56206,28,986848,11,0,482
18926,67,75012,7,10,427
128682,71,59871,19,6,674
206517,14,116445,19,10,480
58056,79,737502,4,0,576
221762,73,946444,5,10,492
83495,52,351017,4,11,358
99147,43,744316,7,11,353
180233,71,779140,17,9,606
205323,76,291734,3,10,498
164479,19,444733,3,10,301
224633,27,487808,4,8,393
217672,18,67145,14,9,465
71714,13,946801,5,8,300
144613,1,683226,15,10,347
152711,85,121909,13,8,636
17478,34,820423,13,3,462
79546,13,526195,15,1,492
219537,51,735874,3,6,473
243934,87,419154,10,3,721
208948,1,862911,18,4,492
134147,87,399026,18,0,792
103373,28,765825,7,10,325
188013,32,317744,9,11,402
44974,72,515870,4,9,422
59183,55,243439,15,5,559
154490,26,845044,2,11,300
229258,14,299849,9,6,444
115361,88,480884,12,2,692
72148,93,279759,6,9,528
127007,68,765924,11,1,631
225991,63,75475,13,11,563
127239,82,895486,9,11,498
123747,14,95490,8,9,345
177780,27,785787,11,6,458
116245,41,522402,2,0,480
178996,3,328417,12,1,490
38382,94,86356,5,2,617
41649,59,248739,5,3,492
242748,23,835135,18,4,576
125559,18,632735,6,3,406
113099,74,714485,3,9,444
45373,76,705041,4,2,532
228752,41,208929,0,0,529
220573,8,32567,17,6,512
37791,32,777189,16,11,378
204968,81,528706,8,9,569
38115,41,304308,8,5,434
163413,45,526274,9,1,570
128109,78,754010,19,1,742
162709,9,562881,16,2,515
170341,90,296127,12,7,658
98489,48,112194,3,7,413
239402,24,502480,17,9,506
38877,87,515949,17,9,594
55273,95,949493,8,9,519
71035,44,360692,2,11,308
158477,58,125605,6,9,473
239420,66,309031,14,10,595
126141,18,940946,8,11,300
208381,80,522962,8,7,598
56767,29,797675,3,6,323
135456,75,524420,17,1,726
156045,2,146628,16,0,538
73565,78,326541,5,5,532
104461,68,869722,6,10,431
143577,98,714800,9,7,622
125159,39,951359,9,0,531
38091,73,534127,5,2,536
34584,41,763747,5,0,459
119861,71,190136,18,9,610
137235,81,242791,7,8,551
220679,87,216994,8,6,652
216696,75,436436,0,7,510
129688,22,865796,15,8,426
31550,82,696438,5,2,553
148135,49,756567,7,9,425
107816,28,387832,14,10,412
219911,16,328574,11,1,539
26631,68,263409,9,5,521
16125,62,678167,15,4,556
181481,36,227751,14,3,584
65581,22,180586,10,5,416
37485,11,187388,6,5,329
123539,85,861933,7,11,487
224402,80,64817,10,2,719
98554,42,358092,8,1,525
89398,55,687589,6,8,422
247487,73,950252,14,7,639
147762,35,172345,14,3,566
30740,57,579072,15,5,538
194715,34,935594,2,2,451
103560,73,236710,15,10,561
100877,77,486793,14,7,596
24156,70,252673,0,2,481
129968,4,144446,13,1,486
183286,46,127247,10,6,534
111589,92,570404,2,2,598
78389,11,736271,8,8,302
221766,98,59133,5,2,722
148880,61,522582,15,7,581
209059,35,985433,10,1,555
85938,69,339482,17,8,586
82500,57,712638,16,0,643
208239,11,691822,16,11,404
75734,12,977128,2,2,324
163278,43,312285,18,10,528
155701,19,211519,14,1,551
47337,77,609888,9,11,455
246437,68,666015,7,6,580
102095,78,828296,16,4,651
78829,59,399626,3,7,425
215473,2,453604,7,1,450
84830,8,363845,1,7,300
61939,22,741277,7,6,347
27965,77,242407,6,11,430
27228,21,164750,8,10,300
63419,85,22970,17,4,695
111913,92,846383,16,1,743
64229,97,513885,0,9,467
246535,29,411723,11,10,453
158894,86,192758,3,6,569
45070,90,935739,16,9,580
214795,75,834115,6,3,614
139045,75,907576,2,3,533
22135,98,78399,0,7,496
225116,83,372405,18,5,751
114093,37,722511,1,8,329
114626,78,993622,5,10,451
54441,29,92874,10,1,495
131190,83,664757,3,4,558
185956,37,364474,0,5,414
237675,21,553943,10,7,454
164115,88,498389,15,3,731
111108,90,327590,5,10,512
90043,12,305783,10,6,378
18062,48,280974,7,10,361
105236,83,494832,19,6,681
67214,47,8014,0,3,429
230062,94,252617,13,0,816
68409,15,758683,1,2,328
156940,67,192803,5,1,606
83089,13,698421,8,11,300
241161,59,855184,13,2,663
109047,73,152931,7,4,577
32428,13,478805,2,10,300
123283,80,338902,9,11,513
217565,78,674268,17,0,785
216186,72,159765,19,4,747
184461,19,875850,8,1,479
49734,57,931107,8,3,493
222156,32,224491,18,5,603
80107,99,209948,12,8,628
101889,87,567990,0,9,454
127168,21,673705,16,5,484
99170,82,22687,3,9,489
157751,14,291725,3,10,300
193815,80,430609,15,11,604
170789,24,355877,15,1,578
171651,49,794724,14,7,536
210174,32,369953,5,4,476
238338,75,920952,4,8,527
49782,11,806060,9,9,300
85160,60,670038,6,8,435
133296,68,694175,6,3,557
169175,61,550765,9,0,635
237152,90,315970,9,10,615
68077,5,459966,14,8,350
43534,36,744886,5,8,329
53636,97,544298,1,7,501
114108,64,851578,7,4,524
65486,78,58133,19,4,694
109096,32,238934,14,9,445
48435,71,564931,17,5,609
48152,74,883532,4,0,550
124620,66,907388,3,8,434
73952,10,964191,9,4,358
34638,99,179065,18,6,697
247816,21,252572,13,10,456
132436,40,503335,12,7,481
31396,42,234855,9,4,462
186566,72,156150,5,2,623
172855,46,65708,12,5,566
151475,82,803702,10,6,599
210124,73,255369,14,3,708
38838,41,617932,1,8,307
53919,94,605868,14,10,574
92895,4,137335,18,3,487
62995,99,282896,16,10,627
168686,14,798053,19,9,449
90593,14,42369,17,1,540
146172,53,596880,5,8,438
109191,84,322411,14,3,688
207792,29,611161,16,3,581
85514,23,911222,8,9,320
25988,85,800677,11,0,645
226139,31,294820,4,1,519
134392,96,113982,13,11,615
130137,71,459012,7,2,599
223239,77,183576,16,6,705
92229,61,132424,8,11,438
116471,23,791675,2,8,300
53148,8,501211,6,11,300
159895,76,176405,11,4,650
39696,16,59484,2,3,340
26629,26,84926,8,1,452
149928,29,880162,13,11,391
46051,93,312118,17,6,669
212683,6,882815,10,5,414
232405,37,740100,3,11,362
48469,33,65702,7,11,325
247724,95,414526,17,6,772
219793,46,635115,12,7,537
239449,61,934943,3,8,475
87372,41,394470,9,9,405
192144,18,528574,7,4,438
236204,95,466761,11,10,644
58406,16,331687,18,4,483
102754,51,277136,11,3,558
50017,37,586340,1,10,300
25705,14,761422,7,2,364
165678,68,665083,12,6,590
101911,30,880072,0,4,345
107469,60,65183,2,6,461
88654,53,145662,1,1,492
181391,97,867606,19,8,716
107185,36,45002,7,8,409
203326,30,439995,2,8,374
60318,64,746444,14,4,572
148286,14,237265,1,9,300
89070,23,143088,16,11,402
64869,48,703543,5,8,378
181300,28,397960,0,0,458
190768,7,501316,3,1,411
18255,42,110269,18,9,475
135478,10,361450,6,4,383
42841,68,439573,13,4,577
20334,44,292383,13,5,485
223889,13,751790,9,7,405
120134,85,882433,6,11,474
55522,33,406138,15,0,560
185780,92,917588,3,9,527
211222,87,522203,6,11,540
45697,32,314291,14,8,426
156794,48,897751,16,3,601
116936,5,60631,2,7,300
211552,61,539661,15,11,552
138935,90,5156,1,11,484
31029,90,169623,6,4,578
80550,3,824895,15,0,466
223114,24,110661,8,8,439
154280,98,835737,11,7,642
238765,34,140725,0,4,455
90507,84,781052,13,10,546
103719,94,285212,10,3,677
103499,42,690147,17,7,515
116383,20,156745,4,8,331
154199,41,147227,14,6,544
193854,82,570,6,3,657
30646,20,892658,13,6,379
236963,6,81736,19,5,548
229816,57,712852,7,10,477
37713,42,142841,3,11,304
47267,25,38921,2,2,387
18864,41,412291,11,9,390
91197,41,876021,17,2,573
178631,3,534589,14,0,516
132201,43,726403,10,4,506
221930,46,386942,10,7,528
87246,57,234245,11,11,450
177434,83,710361,18,5,714
47380,74,441575,16,7,583
211066,51,317263,5,6,505
56284,5,69191,7,1,395
133178,86,540635,14,7,637
225994,73,645647,19,3,751
224946,97,22053,9,10,642
138556,15,845488,14,4,460
70277,88,985532,11,10,519
30316,94,582976,10,7,568
170535,39,388989,17,4,596
221811,70,844882,4,4,567
150960,79,126385,11,5,642
239800,38,405520,4,6,467
26325,39,629104,9,8,374
165160,52,31403,13,10,517
89922,86,375691,15,6,647
128949,3,369222,4,5,323
145856,29,889086,10,11,359
119564,93,514503,18,9,663
91803,31,600706,7,3,439
243417,66,954928,18,10,611
30419,99,846356,19,9,633
237088,45,128391,17,11,553
199821,73,991551,11,1,674
60854,22,217307,12,10,357
148976,83,676538,17,10,616
124796,10,673181,14,8,385
114427,21,999455,14,9,385
225038,17,525002,11,10,402
209628,67,244465,8,4,616
95535,7,467983,18,4,470
103855,36,344472,11,10,406
166772,67,244539,4,11,449
42633,77,653484,19,2,686
131958,30,114312,9,2,511
230716,87,597170,6,0,712
39055,71,368486,10,11,452
164714,94,679484,7,10,557
199086,29,482800,6,4,467
204346,72,86951,15,2,734
149718,74,279655,15,10,585
159245,33,578876,13,1,570
22025,59,238274,14,10,468
27549,20,77567,19,8,440
29853,93,142287,8,9,533
196495,29,667211,15,5,533
76156,53,164622,15,2,610
241560,85,234676,4,6,616
157398,1,641155,2,11,300
149535,34,842390,12,8,443
42163,44,394394,7,8,387
113136,96,199014,16,0,796
138296,14,963818,4,1,397
29075,37,84727,5,7,367
109245,35,372900,1,10,304
58315,59,477900,13,0,617
118245,24,293290,3,10,300
31010,65,592548,2,11,341
212505,6,690663,8,10,326
121548,68,516308,17,2,684
15605,38,993180,11,10,342
182517,1,709373,8,6,355
52315,41,481436,17,7,494
23652,31,85066,12,4,461
178301,36,219570,13,1,603
176602,73,394417,9,2,651
249632,54,75547,2,8,483
195173,87,756553,6,10,538
135179,31,246404,17,9,485
232022,29,783996,15,6,531
108439,85,469303,16,0,750
95266,3,55103,5,2,374
183996,58,217214,11,8,547
53541,90,405880,18,6,670
79658,61,900440,2,11,341
71327,6,987360,2,1,319
108434,20,855056,17,5,475
58654,61,41456,10,8,490
30930,46,501728,5,3,438
145682,13,270808,18,9,446
149590,23,632672,4,1,443
177054,79,445750,12,2,697
21775,31,106229,4,6,349
170062,4,328840,2,3,358
20378,75,666074,18,6,598
61402,66,266456,16,4,618
185513,16,106691,2,7,351
218052,31,641224,14,7,511
94712,48,938349,16,4,553
40060,43,706063,12,6,450
142067,4,35215,13,10,361
220987,62,349708,15,5,657
248103,48,752205,10,7,532
143334,28,626901,16,8,470
133684,16,502100,4,4,374
193065,89,122184,14,6,708
108104,77,519102,17,0,734
37765,69,696438,15,10,498
205125,30,560552,13,7,495
242410,65,689844,13,2,688
169268,69,879427,12,0,676
131677,14,349001,0,5,318
161540,75,904034,5,7,514
109385,34,769396,10,10,375
117649,56,624264,10,2,571
23174,29,697522,15,0,520
60820,82,460207,2,2,548
141518,79,997071,16,4,667
165170,25,350609,13,10,423
87582,94,228745,1,7,521
150258,66,901076,8,8,497
31722,40,564082,7,11,318
123157,91,553525,10,8,592
86504,15,113742,6,3,398
125760,32,851726,1,7,329
55452,20,495498,3,10,300
43270,53,199079,13,4,542
194383,78,917871,12,2,684
56129,91,13417,12,4,660
21387,67,52328,12,1,614
39394,49,462126,4,10,338
142113,67,662133,11,10,505
91827,77,931709,5,10,439
126110,89,102116,13,5,680
176165,82,55443,7,0,701
202708,1,481121,7,5,380
214218,39,215189,6,4,515
50241,61,971567,16,8,509
200479,55,518225,10,6,554
43337,69,47119,9,5,541
115992,2,820100,12,10,301
19804,94,737472,9,11,487
180130,17,527058,13,6,459
221835,29,193609,8,9,435
72450,4,175380,6,4,341
197831,73,300092,6,0,665
74529,64,113612,17,8,574
137766,85,443318,15,4,696
46334,43,760343,7,3,446
209606,76,658966,15,5,681
78452,12,604502,18,4,471
152583,50,260490,14,0,655
187037,68,119726,14,1,717
122018,61,295169,5,3,537
54440,92,50373,8,7,576
78118,73,800820,14,4,606
100263,51,869002,6,6,438
141775,96,895246,7,1,678
64217,77,293064,17,7,616
177211,98,952697,15,4,734
231402,83,784250,14,3,728
83517,78,146083,2,8,469
158857,5,884315,0,5,300
69740,91,948758,12,3,644
226274,28,58266,11,7,499
116119,90,117847,8,2,673
216704,10,513205,1,9,300
28950,88,797538,8,1,611
210714,81,546074,7,6,606
197241,52,974356,4,11,390
87209,80,279088,12,3,647
82278,17,336061,1,3,343
53488,65,172236,9,9,469
51277,21,207815,5,8,310
191113,54,946219,6,1,564
18534,49,185323,2,0,468
95221,22,986411,13,6,414
216744,69,982010,15,11,561
86121,64,883327,5,7,444
238966,36,429025,7,2,550
89090,21,268988,0,1,381
124777,56,763561,19,3,644
202382,73,836296,14,1,711
16634,91,207484,16,11,568
31908,48,744227,17,1,585
167382,76,954678,2,4,533
95653,18,308077,5,9,304
82258,99,13144,16,4,737
220219,15,269793,12,7,459
202153,44,429861,16,8,555
207644,94,708034,15,1,792
84400,45,366099,16,0,622
212675,97,12818,0,2,666
237584,36,261644,15,5,591
131107,40,36880,5,4,474
218879,51,846541,7,7,493
144468,30,692693,0,7,329
223436,26,840490,1,1,451
127436,85,972079,14,8,599
46131,31,418346,4,3,394
166458,56,157788,19,0,734
195853,61,758641,14,1,675
76760,17,293441,9,10,317
82370,81,281206,4,5,537
144841,98,553780,2,4,604
69470,24,762439,5,11,300
134688,97,611149,14,6,683
68283,4,187553,17,8,388
145263,9,731084,13,5,425
148425,2,721737,9,5,366
28878,35,928071,3,1,397
132743,38,298950,10,6,478
91668,45,886540,19,1,620
23203,15,74457,6,6,323
25322,42,594173,14,7,449
91831,3,599479,8,11,300
204847,31,47674,14,0,633
50925,52,604703,11,8,447
37247,41,463698,17,7,488
122930,57,305271,5,8,450
163412,42,416718,17,4,601
231850,53,881461,17,3,664
134496,56,203265,5,0,577
168594,87,245365,14,8,655
190666,76,181796,18,3,751
92631,72,996306,4,3,517
61335,53,399456,3,3,458
103961,85,480102,16,1,732
49723,85,107889,9,11,500
221812,32,310688,11,10,454
19991,81,934144,4,3,510
243234,54,32895,6,1,627
182905,37,894310,11,7,471
162139,88,357531,1,6,550
28763,8,798352,19,10,346
198027,82,735288,16,9,640
59863,11,604741,12,1,443
32408,54,161715,4,1,496
171248,60,815659,4,1,557
181169,10,285395,19,0,599
197922,90,810670,11,5,671
199918,70,584332,11,5,621
129177,81,158795,6,0,661
181866,87,821405,5,10,519
209396,42,618580,9,0,595
104767,37,663873,18,5,541
204558,92,960820,15,10,639
16011,80,685585,1,5,455
169499,76,921883,3,3,560
53392,58,106371,8,2,546
73990,85,142377,4,8,506
196924,59,556010,0,5,478
161301,24,780157,10,0,521
93780,28,77684,18,2,577
228210,37,55429,2,0,542
236070,21,602725,0,2,426
171374,33,993928,3,1,459
38536,2,226707,8,4,336
102746,83,173548,15,2,713
20585,28,175325,6,6,357
195202,15,413924,4,7,361
208029,1,898853,12,6,401
72210,28,720323,10,1,476
228803,50,814053,13,9,526
226445,35,423217,16,9,526
151528,96,491323,11,6,664
137365,28,276364,18,9,486
199933,9,876662,4,2,401
183361,24,851554,7,6,409
24775,63,81757,1,0,508
210953,4,105385,16,1,558
29099,56,330051,1,11,314
117341,41,955288,2,9,328
56842,67,694430,19,0,691
72163,48,39150,17,8,528
228423,86,514443,14,1,776
223834,58,241983,4,1,601
137863,39,323406,16,5,557
110608,25,109756,13,6,465
220747,60,481588,0,1,556
241668,86,973048,13,3,724
190939,47,551449,8,2,564
155931,98,152252,4,4,645
124478,61,212473,3,8,446
70700,84,280969,0,1,561
17539,27,92811,2,4,346
123609,96,394233,19,7,719
93735,42,151957,10,5,491
179230,52,101351,15,3,646
211690,93,46260,10,9,647
196226,48,403476,9,7,510
72824,32,448162,11,2,494
27281,24,702022,4,3,352
161192,3,994897,9,10,300
24946,27,823450,12,8,360
139128,73,186171,18,4,701
139016,40,193378,6,5,466
91427,23,422446,15,11,382
231248,7,811201,5,10,304
41111,81,367839,9,1,623
198468,37,690574,9,8,452
48290,7,32492,10,7,338
242212,94,850199,9,6,669
180534,77,220115,13,8,622
230244,82,586761,14,4,717
19837,95,378231,6,4,579
26801,22,109015,12,10,345
144342,78,612503,10,10,531
169782,82,241495,6,8,561
112157,99,3687,10,10,602
55916,17,704495,13,4,420
159137,19,457851,16,8,458
77546,95,597688,15,0,749
60474,39,858095,0,9,300
108766,36,881441,8,9,372
51388,15,836136,8,10,300
91167,63,382375,9,7,504
110364,29,407050,18,2,575
89667,60,402137,14,7,543
94843,56,903680,15,4,569
18709,40,683933,10,1,486
63754,16,824308,16,8,386
101257,33,790698,18,3,553
243802,89,37713,12,6,717
